From,To,Type,o_que_passou,evidencia,url,confianca
Hexa Drop,Cai-Cai,linhagem,peça que cai e some ao fechar,"mesmo verbo, sem fala do time; [[Estudo Cai-Cai]]",,C
Peça que encaixa,Cai-Cai,carrega,linha some só se fechar,[[Estudo Cai-Cai]],,C
Kite Works,Cai-Cai,desenvolveu,,propriedade studio,,A
Peça que encaixa,Hexa Drop,carrega,anel central some ao fechar,[[Hexa Drop — postmortem]],,A
O Anel,Hexa Drop,fonte,o anel central como figura de fecho,[[Hexa Drop — postmortem]],,A
Byteforge,Hexa Drop,desenvolveu,,propriedade studio,,A
Hexa Drop,Oficina,inspirou,anel que some no lugar da linha,[[Hexa Drop — postmortem]],,A
Peça que encaixa,Oficina,carrega,"peça cai, encaixa ou pune",[[Oficina — o anel que chegou tarde]],,A
Cai-Cai,Oficina,parece,crítico aponta queda-e-some,[[Cai-Cai — recensão]],,D
Anel e Centro,O Anel,fonte,o anel só vale fechado,[[Hexa Drop — postmortem]],,A
Hexa Drop,Peça que encaixa,origem,anel central some ao fechar,[[Hexa Drop — postmortem]],,A
Lia Costa,Byteforge,integra,,propriedade studio,,A
